first_operand,operator,second_operand,answer
2610,-,1542,1068
1773,-,9340,-7567
1507,*,7712,11621984
6548,+,5866,12414
6943,+,8434,15377
5268,+,8715,13983
8046,*,7738,62259948
8619,*,2906,25046814
1972,+,2388,4360
7627,+,7853,15480
5276,*,6096,32162496
8070,*,4064,32796480
7333,*,2827,20730391
8462,+,43,8505
1181,-,5046,-3865
4152,*,6341,26327832
3949,*,431,1702019
8723,+,7006,15729
2192,-,9387,-7195
7985,*,955,7625675
3798,-,6560,-2762
3086,-,8239,-5153
6192,*,4076,25238592
3178,*,4979,15823262
5529,-,2055,3474
6623,+,7759,14382
7638,-,2209,5429
3004,+,1636,4640
8189,-,2455,5734
5336,*,1733,9247288
5182,-,8052,-2870
5156,+,3896,9052
5384,*,7634,41101456
5867,+,7745,13612
9183,+,3652,12835
1676,*,9873,16547148
4791,-,3318,1473
7533,+,6316,13849
6867,-,6988,-121
1666,-,4740,-3074
6654,*,8207,54609378
2847,+,6400,9247
8749,+,829,9578
4042,+,5818,9860
440,-,3280,-2840
229,*,6711,1536819
9212,-,7411,1801
8454,*,8124,68680296
2299,-,2927,-628
7906,-,6292,1614
4638,*,6336,29386368
8150,*,9657,78704550
7324,-,1133,6191
2907,-,748,2159
8221,+,5094,13315
8276,-,675,7601
2597,*,7044,18293268
2245,-,1664,581
4685,-,1857,2828
7598,*,1117,8486966
3546,-,4822,-1276
1144,+,8588,9732
7542,-,4427,3115
3362,+,6370,9732
4414,+,6526,10940
1754,-,3936,-2182
8496,+,7106,15602
7037,+,8050,15087
8441,+,2230,10671
5563,-,3570,1993
587,*,6216,3648792
9126,*,8670,79122420
376,*,3165,1190040
8320,+,8825,17145
6542,-,2879,3663
5362,+,9892,15254
8444,-,8193,251
8582,+,1091,9673
9345,+,9818,19163
6127,*,1535,9404945
4820,*,8712,41991840
7458,-,4742,2716
2451,*,8904,21823704
1263,+,8509,9772
1428,-,2842,-1414
6592,+,2442,9034
2126,+,3749,5875
590,+,5711,6301
3279,+,5372,8651
3929,*,3461,13598269
7626,-,2396,5230
4517,+,2054,6571
1061,-,7210,-6149
7417,-,8571,-1154
9792,-,5542,4250
7122,+,4185,11307
6860,+,7711,14571
7973,-,2452,5521
2168,+,599,2767
2758,+,5917,8675
6991,+,8720,15711
6070,+,8865,14935
1795,*,4234,7600030
5138,*,7479,38427102
1513,+,2137,3650
1954,*,8462,16534748
1250,*,9270,11587500
8066,*,4966,40055756
3063,+,2600,5663
3242,+,7056,10298
5022,+,4921,9943
1456,*,8854,12891424
3166,-,1832,1334
360,+,338,698
4226,+,1855,6081
2298,*,2599,5972502
7079,*,9476,67080604
6797,+,549,7346
9867,+,4250,14117
7372,-,346,7026
5093,-,173,4920
7548,-,9740,-2192
8663,*,2036,17637868
399,+,4869,5268
2208,-,9172,-6964
6535,*,3557,23244995
4566,-,1922,2644
696,-,5681,-4985
7970,*,1215,9683550
7483,*,3258,24379614
6234,*,6576,40994784
8733,*,9627,84072591
1399,*,1217,1702583
9044,+,2207,11251
7466,*,7704,57518064
3698,+,4324,8022
4399,-,7011,-2612
3866,*,8029,31040114
1822,-,6843,-5021
6169,-,741,5428
7431,+,5648,13079
9019,+,9177,18196
5222,+,9483,14705
741,-,5105,-4364
5606,-,7125,-1519
3590,*,8755,31430450
2392,+,5727,8119
8028,+,7356,15384
3685,-,8987,-5302
3557,*,7911,28139427
7056,*,1206,8509536
3252,-,9363,-6111
3272,+,151,3423
4551,-,2275,2276
865,*,7851,6791115
2692,-,846,1846
9833,*,8968,88182344
2345,+,2393,4738
5859,-,1776,4083
3281,+,4715,7996
2198,+,4083,6281
9904,+,8849,18753
5707,+,961,6668
6745,+,7237,13982
4119,-,1957,2162
8226,-,3034,5192
9557,+,4970,14527
794,-,5068,-4274
9652,*,9594,92601288
7361,+,6582,13943
7509,+,1493,9002
4384,*,9650,42305600
5562,+,8794,14356
6396,-,3123,3273
2241,*,2287,5125167
2603,+,2021,4624
9476,+,2548,12024
8779,*,2278,19998562
9538,*,1557,14850666
5160,*,9002,46450320
3046,*,8029,24456334
6976,+,5286,12262
5135,*,8765,45008275
2945,-,608,2337
9435,+,4825,14260
9945,+,4848,14793
3374,*,1046,3529204
827,*,5831,4822237
8711,*,2860,24913460
8729,-,3142,5587
6912,+,2574,9486
8567,+,2206,10773
9744,+,4537,14281
4678,-,5945,-1267
7039,*,307,2160973
8101,+,5425,13526
122,+,7554,7676
4622,-,404,4218
9659,*,4574,44180266
7151,+,7523,14674
3984,-,7775,-3791
1076,+,817,1893
1488,-,5381,-3893
8624,-,2407,6217
8445,+,9746,18191
5603,*,6761,37881883
3720,+,6297,10017
2363,+,8895,11258
8967,+,3051,12018
9242,*,3878,35840476
9296,-,3131,6165
82,-,436,-354
4679,+,2741,7420
1788,*,8836,15798768
1477,*,1504,2221408
4329,*,5413,23432877
7867,*,1072,8433424
1647,-,2574,-927
6939,-,4208,2731
5747,*,1874,10769878
5342,+,5983,11325
5777,+,3449,9226
9834,-,2472,7362
1207,-,8078,-6871
8820,*,2529,22305780
2077,+,8759,10836
8849,*,2347,20768603
2130,*,1129,2404770
7369,+,9131,16500
9355,-,9915,-560
3366,+,798,4164
7506,+,4391,11897
3010,*,192,577920
621,*,3872,2404512
8310,+,6348,14658
8136,-,1240,6896
6774,+,8766,15540
8325,*,4138,34448850
1512,+,25,1537
1786,-,3145,-1359
8484,*,6177,52405668
198,*,3550,702900
7079,+,1404,8483
4152,+,3533,7685
789,*,7512,5926968
7713,*,4952,38194776
7597,*,5827,44267719
1246,*,494,615524
1764,+,7573,9337
3287,-,329,2958
3501,-,3760,-259
8042,*,4692,37733064
1791,*,8803,15766173
6093,+,1658,7751
6159,-,538,5621
9641,*,6241,60169481
6831,+,3060,9891
9312,-,7673,1639
1467,*,6703,9833301
4129,+,4929,9058
1423,-,698,725
9210,-,9128,82
7481,+,3676,11157
9114,*,1382,12595548
83,*,5035,417905
1121,-,6630,-5509
6051,-,3046,3005
2932,*,5960,17474720
2153,-,3794,-1641
808,-,7532,-6724
2473,-,8858,-6385
1871,+,314,2185
6266,*,5529,34644714
211,*,2095,442045
3307,-,8633,-5326
4151,-,2910,1241
85,*,7878,669630
2400,-,4381,-1981
8411,*,3429,28841319
3028,*,1176,3560928
7425,+,5424,12849
5446,-,4539,907
4594,-,4708,-114
4948,-,9868,-4920
7030,*,9643,67790290
5392,+,2153,7545
7395,*,9275,68588625
324,+,556,880
3423,+,406,3829
9934,+,5034,14968
628,+,2649,3277
4943,+,3391,8334
1938,*,617,1195746
9510,+,5922,15432
2363,*,2295,5423085
6259,*,2234,13982606
559,-,845,-286
1632,*,6724,10973568
5842,+,2312,8154
1515,-,7299,-5784
3779,+,236,4015
6977,+,9776,16753
5274,+,2182,7456
9797,*,7512,73595064
3885,-,8340,-4455
2191,*,9526,20871466
788,-,7383,-6595
1721,-,1114,607
9910,+,5795,15705
2060,+,3810,5870
7643,*,5153,39384379
7721,*,3828,29555988
9297,*,8447,78531759
676,*,1140,770640
4625,-,5746,-1121
3132,+,9167,12299
297,-,2646,-2349
9630,-,2163,7467
748,+,1656,2404
1783,-,8439,-6656
704,-,5019,-4315
3816,-,566,3250
1161,-,5232,-4071
375,*,1494,560250
4660,-,6261,-1601
5731,*,7844,44953964
3075,-,5292,-2217
9762,+,5310,15072
4156,-,8374,-4218
148,*,127,18796
6846,-,2332,4514
7833,-,9416,-1583
265,-,2017,-1752
69,-,772,-703
6159,-,5961,198
7093,+,3290,10383
3938,-,1639,2299
7406,-,4757,2649
5501,+,5776,11277
342,+,7342,7684
6123,*,4280,26206440
6756,-,2423,4333
952,-,295,657
6819,+,505,7324
2695,*,9788,26378660
705,+,1479,2184
6335,*,6428,40721380
1578,+,8538,10116
159,*,2708,430572
9033,*,2688,24280704
8589,+,3497,12086
2134,*,8969,19139846
7142,*,4833,34517286
1356,+,6050,7406
2127,*,1228,2611956
6878,*,8513,58552414
2028,-,2125,-97
4801,-,4515,286
8716,-,9214,-498
6338,-,6997,-659
9213,+,8804,18017
3178,-,894,2284
5807,*,5784,33587688
6888,-,4402,2486
4957,*,520,2577640
5901,+,9708,15609
994,+,6864,7858
263,-,694,-431
9680,+,3225,12905
9078,-,259,8819
4983,+,8555,13538
3195,+,1322,4517
7641,+,6987,14628
8814,*,7003,61724442
6448,+,6604,13052
4573,+,9862,14435
1214,*,7077,8591478
6681,-,2500,4181
2645,*,5277,13957665
9545,-,8403,1142
3471,+,8452,11923
6909,*,4310,29777790
781,+,4200,4981
9042,+,2372,11414
432,*,7849,3390768
1837,*,2236,4107532
7416,*,8122,60232752
1164,-,8167,-7003
2131,-,1722,409
9501,-,1733,7768
1921,-,7278,-5357
9779,*,1649,16125571
4385,-,3147,1238
200,+,2965,3165
5297,-,55,5242
4229,*,1805,7633345
636,+,5711,6347
3861,-,9309,-5448
2610,+,5497,8107
3298,+,5807,9105
3877,*,4011,15550647
7521,-,3163,4358
3275,-,475,2800
3597,*,2278,8193966
7735,-,3329,4406
7579,-,5366,2213
9904,+,6976,16880
8793,+,4008,12801
2298,-,5937,-3639
8637,-,4545,4092
3023,-,601,2422
8267,*,7071,58455957
5951,+,8856,14807
4621,+,8928,13549
2244,+,8925,11169
1407,-,1979,-572
1373,+,9134,10507
8145,-,6780,1365
4419,+,2881,7300
8411,+,4038,12449
7589,-,9303,-1714
5365,+,2196,7561
6403,+,334,6737
2497,-,1823,674
1661,*,3783,6283563
375,+,3761,4136
925,+,8668,9593
3269,*,5234,17109946
7563,+,9159,16722
1416,-,5729,-4313
196,-,5348,-5152
7240,*,1861,13473640
7164,+,6760,13924
2158,+,9591,11749
1668,-,8806,-7138
7217,-,1219,5998
9325,-,2584,6741
6148,*,188,1155824
4434,*,1093,4846362
1163,*,7333,8528279
820,*,2398,1966360
890,-,6980,-6090
525,*,101,53025
9476,+,7178,16654
6842,+,7810,14652
8158,-,5266,2892
8507,-,6331,2176
6467,*,3485,22537495
7594,*,8819,66971486
8979,+,7389,16368
3685,-,999,2686
5938,-,5688,250
7016,+,8179,15195
9877,+,4405,14282
7699,*,6691,51514009
3525,-,5472,-1947
8999,+,3395,12394
554,-,2278,-1724
3193,*,4181,13349933
7988,+,7393,15381
9639,*,1831,17649009
290,-,7191,-6901
2720,+,6095,8815
9273,+,6224,15497
7498,-,2086,5412
6317,*,5248,33151616
5838,-,2394,3444
20,+,920,940
5938,-,2041,3897
4701,-,336,4365
1910,*,5427,10365570
4757,+,2806,7563
8565,*,2393,20496045
6773,-,7120,-347
8108,*,9640,78161120
7089,+,7114,14203
1284,*,5197,6672948
5048,+,8396,13444
6748,-,759,5989
4391,*,6576,28875216
9209,-,5574,3635
8549,*,3334,28502366
5771,+,7986,13757
5042,-,584,4458
6631,+,8183,14814
7396,+,6313,13709
5678,-,917,4761
3421,-,2850,571
4749,+,7170,11919
2913,-,439,2474
3968,*,603,2392704
5420,-,4117,1303
9153,+,6613,15766
9161,+,152,9313
1186,*,3551,4211486
6348,-,5088,1260
1375,+,1484,2859
898,+,4769,5667
8945,-,1996,6949
6176,*,6695,41348320
8058,-,117,7941
5343,+,8194,13537
7419,-,5113,2306
4386,+,9058,13444
1316,-,4107,-2791
5585,+,1463,7048
7677,*,5862,45002574
4783,*,7111,34011913
6023,+,2795,8818
9891,*,5244,51868404
4030,+,5729,9759
8631,+,3192,11823
4287,*,9388,40246356
7181,*,8990,64557190
316,+,7966,8282
6961,*,3086,21481646
6913,-,9816,-2903
8014,-,5855,2159
5847,-,7684,-1837
4342,*,6761,29356262
2276,+,856,3132
7128,-,2681,4447
3422,*,3597,12308934
4257,-,2971,1286
8546,*,3282,28047972
8108,+,4922,13030
1779,*,5780,10282620
6660,+,3376,10036
4411,+,3015,7426
5459,-,8305,-2846
8031,*,1340,10761540
810,-,2372,-1562
9197,*,839,7716283
3298,+,7490,10788
2007,*,5178,10392246
3463,-,1673,1790
8791,+,6758,15549
4088,*,7234,29572592
9529,-,2650,6879
4864,+,5965,10829
9625,-,3939,5686
611,*,9999,6109389
3543,*,3731,13218933
6770,-,5440,1330
1850,*,8169,15112650
214,-,8179,-7965
5753,+,1616,7369
8832,+,5985,14817
5491,-,9457,-3966
2019,*,8812,17791428
7617,*,9995,76131915
316,-,9026,-8710
5695,*,3485,19847075
1448,*,5577,8075496
2378,+,6889,9267
3711,*,6534,24247674
9743,*,1865,18170695
5574,+,2895,8469
3914,*,7940,31077160
1770,+,9212,10982
3974,+,5661,9635
3148,-,5882,-2734
6827,*,8504,58056808
92,*,8972,825424
6139,+,1813,7952
7818,*,2810,21968580
487,-,2922,-2435
5991,-,1239,4752
9789,*,9726,95207814
3536,-,4335,-799
9249,+,646,9895
3807,+,7038,10845
7685,*,6099,46870815
5407,*,2554,13809478
9020,+,3974,12994
4450,+,8881,13331
2014,*,3077,6197078
4853,+,1524,6377
818,+,4952,5770
5216,-,346,4870
3984,*,2206,8788704
3581,-,2233,1348
7654,*,5609,42931286
3700,+,6347,10047
4953,-,9788,-4835
7531,+,5772,13303
2234,*,6900,15414600
4923,-,4484,439
839,-,7254,-6415
2772,-,8049,-5277
2782,-,7678,-4896
3009,*,5075,15270675
2754,-,1944,810
8854,+,9807,18661
6514,+,7063,13577
7359,-,7220,139
607,-,3362,-2755
8733,-,6196,2537
7656,*,8201,62786856
9936,-,6073,3863
5115,*,3393,17355195
8820,+,3859,12679
2797,-,5856,-3059
836,+,5890,6726
5476,*,8719,47745244
7807,*,4341,33890187
2413,+,181,2594
6197,+,6364,12561
7198,-,6777,421
9723,-,6516,3207
1171,*,6557,7678247
6815,-,4356,2459
2831,+,9648,12479
1342,+,397,1739
6946,+,6916,13862
4791,*,3228,15465348
4353,*,4782,20816046
3562,*,147,523614
131,+,9159,9290
4646,*,7499,34840354
6881,*,5491,37783571
623,*,3623,2257129
3531,-,5649,-2118
3476,-,6197,-2721
2984,*,6319,18855896
7282,-,7004,278
3686,+,1995,5681
4106,*,7117,29222402
7717,*,9924,76583508
753,*,8836,6653508
997,+,6887,7884
6041,-,3914,2127
2436,-,1110,1326
1435,-,5199,-3764
9978,*,2878,28716684
306,+,8621,8927
9553,-,4653,4900
5141,+,7531,12672
4529,*,1989,9008181
9850,-,2184,7666
103,+,3634,3737
5286,-,2750,2536
3520,+,4751,8271
4135,*,1075,4445125
3539,-,9180,-5641
8594,+,9752,18346
1389,*,6540,9084060
3171,+,9991,13162
6422,+,8739,15161
8849,-,9099,-250
3292,-,6470,-3178
8584,+,9497,18081
4329,+,4086,8415
3435,+,548,3983
5040,*,5422,27326880
1780,*,5922,10541160
5091,+,6339,11430
6073,+,5917,11990
9072,+,5047,14119
2751,+,2400,5151
9987,+,8384,18371
4601,*,7533,34659333
8890,*,5871,52193190
5248,+,8143,13391
7707,*,2578,19868646
9170,+,6265,15435
1954,+,4839,6793
1712,-,4391,-2679
4570,+,2773,7343
1724,-,9943,-8219
3201,-,9257,-6056
1029,*,1995,2052855
9527,*,168,1600536
3645,*,169,616005
1060,+,5323,6383
8050,*,7082,57010100
6637,+,7711,14348
5352,*,4226,22617552
9187,+,3493,12680
7478,*,4671,34929738
8445,-,3496,4949
6258,+,6273,12531
3694,-,1474,2220
6402,-,2360,4042
2283,+,4965,7248
8088,*,1289,10425432
8995,*,9386,84427070
6588,*,7131,46979028
5405,*,9054,48936870
1870,-,7258,-5388
3511,*,6569,23063759
6899,+,6778,13677
3386,+,4567,7953
7033,*,2737,19249321
9800,-,9356,444
5546,-,6945,-1399
1676,-,9308,-7632
8433,*,9970,84077010
51,+,1837,1888
6825,*,8450,57671250
9674,+,6341,16015
3890,*,8969,34889410
5967,*,4160,24822720
6344,*,5238,33229872
7094,+,506,7600
4735,-,9315,-4580
4802,+,7089,11891
5400,*,4901,26465400
3547,*,5522,19586534
3018,+,8018,11036
1806,-,3591,-1785
2001,+,5826,7827
1236,+,2977,4213
9184,*,2092,19212928
4742,+,1511,6253
2192,*,4888,10714496
2070,+,8701,10771
5798,-,2069,3729
4542,+,7472,12014
5957,*,3042,18121194
4153,-,3813,340
2671,-,8317,-5646
2099,-,627,1472
6351,*,7915,50268165
1796,+,9089,10885
9150,-,8097,1053
3026,+,1456,4482
497,*,4244,2109268
4430,-,5668,-1238
812,*,2069,1680028
7063,-,7168,-105
5263,-,4249,1014
7823,+,9053,16876
2816,*,8315,23415040
307,*,6833,2097731
4471,-,4074,397
3218,+,6615,9833
9793,+,9235,19028
6181,*,1109,6854729
132,-,5012,-4880
5640,-,9304,-3664
4693,*,723,3393039
2165,-,1796,369
4928,*,3883,19135424
5624,+,2025,7649
5344,+,7837,13181
7778,+,7146,14924
9078,+,9806,18884
7408,+,3794,11202
4291,+,1359,5650
4787,+,6526,11313
2994,*,8132,24347208
1854,+,2164,4018
1540,-,548,992
8484,+,3621,12105
3171,*,1033,3275643
6214,+,9023,15237
7781,+,3726,11507
4147,+,5096,9243
4689,+,5294,9983
4726,+,3508,8234
7536,-,3720,3816
7961,+,2214,10175
3380,*,7151,24170380
7011,-,6737,274
8046,-,234,7812
5239,+,7927,13166
6327,+,5018,11345
4748,-,8146,-3398
3857,-,2850,1007
3033,*,4674,14176242
1253,*,5859,7341327
2818,-,3361,-543
5442,+,4864,10306
5766,-,2150,3616
2485,+,9384,11869
612,*,7840,4798080
7915,-,2172,5743
3714,+,9864,13578
1378,+,9001,10379
2328,*,4282,9968496
4560,-,1077,3483
8988,*,2785,25031580
8811,*,6866,60496326
786,-,681,105
6231,+,4710,10941
6620,*,5043,33384660
2997,*,6383,19129851
923,-,2106,-1183
3977,+,7798,11775
1431,-,4,1427
1485,*,4251,6312735
7063,-,1669,5394
4457,-,4517,-60
348,*,4275,1487700
9082,*,4234,38453188
2077,+,7426,9503
3087,+,1797,4884
7296,-,9899,-2603
7147,*,9070,64823290
5031,-,5008,23
2497,+,3148,5645
6120,*,7787,47656440
9011,-,3356,5655
7342,+,7467,14809
2841,-,2257,584
5231,-,3882,1349
9309,-,8351,958
6125,*,2246,13756750
5600,*,2341,13109600
9667,*,8721,84305907
6812,*,5326,36280712
9282,-,4814,4468
5865,-,1501,4364
4932,+,4358,9290
129,-,2903,-2774
7453,+,3549,11002
9041,*,241,2178881
415,-,7158,-6743
3697,*,8474,31328378
681,-,7229,-6548
8018,-,8739,-721
871,-,7614,-6743
8991,-,4544,4447
2788,+,7595,10383
7457,+,1743,9200
6937,*,4094,28400078
6405,*,9791,62711355
2763,-,2504,259
9278,*,6305,58497790
7983,*,5195,41471685
5622,-,2241,3381
2026,*,8932,18096232
2750,-,9965,-7215
9181,*,1079,9906299
4066,+,3588,7654
3357,+,131,3488
7822,-,3648,4174
7876,-,3232,4644
260,-,469,-209
8011,*,7370,59041070
791,-,1361,-570
9579,*,6285,60204015
8142,+,9806,17948
372,-,2147,-1775
6716,-,7721,-1005
1725,-,1280,445
9298,*,5181,48172938
5487,*,1054,5783298
4966,+,1288,6254
871,+,646,1517
3910,*,6074,23749340
4327,+,9117,13444
7895,-,95,7800
653,*,4084,2666852
7448,+,6326,13774
2765,+,1604,4369
4196,*,368,1544128
6228,-,5318,910
4897,-,9728,-4831
2981,+,9778,12759
4989,+,9881,14870
7080,-,8191,-1111
446,+,8591,9037
2034,+,6559,8593
3636,*,5023,18263628
9160,+,183,9343
3159,+,2712,5871
7777,+,558,8335
126,+,7892,8018
783,-,9606,-8823
4443,*,5577,24778611
6805,-,1540,5265
8951,-,4144,4807
8621,*,1992,17173032
2161,+,6456,8617
8687,*,8862,76984194
631,-,8731,-8100
6404,-,1602,4802
5838,*,2944,17187072
5125,+,1874,6999
1030,*,4703,4844090
5683,*,4941,28079703
40,*,7811,312440
7593,-,3481,4112
8120,-,181,7939
8017,-,8116,-99
3603,+,5864,9467
6297,-,6929,-632
9779,+,4083,13862
3163,*,4592,14524496
417,+,1537,1954
3969,+,578,4547
5117,+,5344,10461
7377,*,4130,30467010
4192,+,2034,6226
812,*,7823,6352276
2803,*,6423,18003669
872,-,6587,-5715
6088,+,1174,7262
1925,-,9326,-7401
9192,-,2121,7071
2296,-,2444,-148
6722,-,4163,2559
7747,*,8841,68491227
2895,+,4762,7657
4712,*,3893,18343816
6475,-,4499,1976
2786,+,3324,6110
6031,+,5117,11148
9943,+,3993,13936
1696,*,1478,2506688
8529,-,4049,4480
4701,-,8215,-3514
15,*,4529,67935
9962,+,1791,11753
6925,*,99,685575
604,+,8586,9190
204,+,3821,4025
598,+,5100,5698
5742,+,6336,12078
869,-,7864,-6995
1866,*,1723,3215118
6146,+,9665,15811
8708,*,1766,15378328
1694,*,3481,5896814
6616,-,6010,606
7657,+,7842,15499
701,+,2608,3309
206,*,7101,1462806
9928,*,6779,67301912
1121,-,3174,-2053
3802,+,5790,9592
5368,*,8825,47372600
5660,*,4960,28073600
2734,*,4271,11676914
5292,-,9208,-3916
123,+,1626,1749
2072,-,2436,-364
5426,+,9689,15115
1005,+,2811,3816
4647,+,7826,12473
7759,+,6109,13868
3191,+,9268,12459
4383,-,1877,2506
1054,-,8641,-7587
6754,*,8681,58631474
2286,-,5595,-3309
7040,+,407,7447
3756,*,1989,7470684
4348,*,5813,25274924
9043,+,1700,10743
3858,*,9870,38078460
8231,-,2676,5555
9198,*,6216,57174768
2877,-,2996,-119
5135,*,3766,19338410
4541,*,1467,6661647
8820,+,1780,10600
2938,*,2377,6983626
3806,+,6535,10341
9665,*,1458,14091570
93,-,1876,-1783
6324,*,490,3098760
2425,+,7107,9532
2148,+,594,2742
9286,-,4958,4328
4727,*,4139,19565053
5392,*,1465,7899280
1530,+,2962,4492
3095,+,9795,12890
7746,+,4497,12243
8139,-,787,7352
4187,-,1463,2724
4611,+,6897,11508
8788,-,8393,395
2765,-,1693,1072
7469,-,1205,6264
8698,*,7958,69218684
8530,+,8048,16578
4284,-,743,3541
5597,*,9817,54945749
5915,+,1499,7414
5056,+,6942,11998
6462,+,7571,14033
5918,+,4879,10797
5719,-,8944,-3225
8960,+,9277,18237
7148,+,1175,8323
5699,*,1411,8041289
470,+,9877,10347
6533,*,4561,29797013
4122,-,8447,-4325
8290,-,9011,-721
7443,+,1296,8739
765,-,8543,-7778
8691,*,9857,85667187
5452,-,8781,-3329
8714,+,7865,16579
3723,+,478,4201
2421,+,4082,6503
2307,*,4950,11419650
3293,-,6888,-3595
3910,-,1487,2423
204,+,4640,4844
2303,*,4039,9301817
2966,-,3690,-724
5691,*,4847,27584277
7451,*,620,4619620
797,+,858,1655
1317,*,7925,10437225
4589,-,8070,-3481
740,*,2997,2217780
5339,*,1395,7447905
4411,+,2567,6978
6169,-,1436,4733
2751,+,9198,11949
194,-,7783,-7589
98,-,1100,-1002
8920,-,6919,2001
3287,+,5575,8862
2762,+,7426,10188
6848,*,8298,56824704
7811,-,8043,-232
7319,+,1239,8558
2513,+,6765,9278
3605,*,2309,8323945
8173,-,5489,2684
1394,*,2057,2867458
5841,+,7300,13141
6532,-,4119,2413
7655,*,9459,72408645
3937,-,3461,476
1105,-,3074,-1969
8012,-,7150,862
7161,+,2603,9764
2355,*,6341,14933055
5667,*,2688,15232896
1521,+,5812,7333
2626,-,6278,-3652
2920,+,4843,7763
4990,+,4324,9314
3413,+,9364,12777
8843,+,6568,15411
8417,-,6390,2027
5530,+,9322,14852
7831,+,3006,10837
3880,-,3262,618
224,-,6653,-6429
7135,-,6981,154
2227,+,8241,10468
5531,-,3994,1537
5944,+,6070,12014
5587,*,139,776593
8359,-,6395,1964
394,-,2241,-1847
5639,+,3601,9240
5597,+,4300,9897
8553,-,5430,3123
1939,-,7091,-5152
9651,*,1505,14524755
3804,*,5627,21405108
1740,-,3191,-1451
4546,*,2282,10373972
2769,+,2010,4779
7605,-,561,7044
3019,*,302,911738
3014,-,7362,-4348
3331,+,9163,12494
5346,-,6710,-1364
7782,+,3111,10893
770,*,3334,2567180
1035,*,7766,8037810
1904,*,8514,16210656
9981,-,1577,8404
8023,-,9978,-1955
8269,+,7172,15441
4621,-,54,4567
8433,+,8937,17370
7227,+,255,7482
6457,*,5090,32866130
8514,*,2917,24835338
1551,*,8411,13045461
1504,*,2330,3504320
7065,*,5416,38264040
7811,*,325,2538575
1460,-,5897,-4437
1186,+,5859,7045
4145,*,9772,40504940
1007,-,7285,-6278
1766,-,8087,-6321
3787,*,3476,13163612
6887,*,5883,40516221
1728,*,9435,16303680
4835,*,6495,31403325
2139,-,1083,1056
1031,-,864,167
6109,-,2807,3302
9505,*,8168,77636840
3149,*,3088,9724112
9917,*,9203,91266151
3137,+,7349,10486
7279,+,3271,10550
8209,-,8833,-624
694,*,6498,4509612
5410,+,7625,13035
6530,+,1128,7658
1635,+,2728,4363
8207,*,7342,60255794
5559,*,6025,33492975
1122,-,3060,-1938
7281,-,1693,5588
7430,+,7610,15040
2583,*,106,273798
476,-,3499,-3023
5498,-,6390,-892
937,-,662,275
2060,-,8443,-6383
6118,*,9718,59454724
6985,+,6986,13971
2036,+,4576,6612
4620,-,886,3734
8389,*,6076,50971564
6116,-,3577,2539
7521,*,7065,53135865
4539,*,5053,22935567
6267,*,1879,11775693
2320,+,9927,12247
2364,+,5888,8252
6574,-,4110,2464
1716,+,4064,5780
2793,-,9314,-6521
3720,+,6986,10706
1630,+,6088,7718
1521,*,2888,4392648
1659,+,2533,4192
5469,+,7008,12477
2606,*,19,49514
2131,+,5565,7696
7649,*,309,2363541
510,-,9220,-8710
1788,-,1477,311
6681,*,4654,31093374
2072,*,2031,4208232
4885,-,9162,-4277
1013,+,9003,10016
163,+,4671,4834
1942,*,88,170896
8284,*,3859,31967956
8192,-,5531,2661
828,-,6358,-5530
6022,*,7774,46815028
2245,-,9920,-7675
9538,+,8230,17768
6277,-,3987,2290
2341,+,9639,11980
1354,-,3284,-1930
3236,-,7161,-3925
2173,*,8494,18457462
6349,*,34,215866
9886,*,9316,92097976
7473,+,7525,14998
4950,-,5791,-841
8195,*,2567,21036565
2645,+,9538,12183
6976,+,100,7076
8714,*,9464,82469296
3408,-,2157,1251
2361,*,3166,7474926
9878,+,4246,14124
2839,-,2104,735
2638,-,6930,-4292
8223,-,8508,-285
2652,-,608,2044
5723,+,9759,15482
6748,-,5362,1386
7571,-,6721,850
3592,*,5444,19554848
235,*,6738,1583430
424,+,5367,5791
3685,*,87,320595
9042,+,2181,11223
7449,+,5930,13379
5110,-,1756,3354
1063,*,8019,8524197
8709,+,249,8958
6839,*,8071,55197569
1207,-,9372,-8165
9415,+,3061,12476
6926,*,702,4862052
9878,*,3964,39156392
5540,*,7038,38990520
2122,+,8327,10449
7699,*,6390,49196610
1985,+,2487,4472
2105,*,4966,10453430
1546,*,8260,12769960
7136,-,6646,490
3286,+,8005,11291
7566,*,8788,66490008
1514,+,5747,7261
9158,+,4404,13562
5359,+,8619,13978
428,-,1908,-1480
3959,*,3538,14006942
6110,-,6733,-623
7193,-,2852,4341
5852,*,7635,44680020
5427,*,481,2610387
5516,+,9192,14708
1622,*,4706,7633132
5966,*,5755,34334330
5301,*,8818,46744218
8618,-,6219,2399
9889,+,4351,14240
3695,*,5499,20318805
598,-,3347,-2749
6387,-,853,5534
2368,*,5998,14203264
5466,+,973,6439
4967,+,6534,11501
5079,-,2607,2472
7003,-,4440,2563
8828,+,3290,12118
348,*,5530,1924440
95,+,7524,7619
5422,+,6571,11993
5340,+,9799,15139
7782,+,325,8107
9878,-,2527,7351
9879,+,3019,12898
8279,-,2338,5941
9095,-,1032,8063
1816,-,1247,569
2011,+,5667,7678
2094,*,504,1055376
1165,-,9535,-8370
452,-,6931,-6479
3308,-,9522,-6214
6533,+,8329,14862
6046,*,388,2345848
2923,*,4761,13916403
3699,+,4389,8088
7449,*,4079,30384471
8054,*,5272,42460688
9879,-,5197,4682
5252,+,8130,13382
1454,*,6031,8769074
113,*,5457,616641
